fill	x	y	group	clickSelects
#E6C9C5	48091.5	0	1	48092-48092
#E6C9C5	48092	0.5	1	48092-48092
#E6C9C5	48092.5	0	1	48092-48092
#E6C9C5	48092	-0.5	1	48092-48092
#DDB6B1	48092	0.5	2	48092-48093
#DDB6B1	48092.5	1	2	48092-48093
#DDB6B1	48093	0.5	2	48092-48093
#DDB6B1	48092.5	0	2	48092-48093
#E2C1BD	48092.5	1	3	48092-48094
#E2C1BD	48093	1.5	3	48092-48094
#E2C1BD	48093.5	1	3	48092-48094
#E2C1BD	48093	0.5	3	48092-48094
#DFBAB6	48093	1.5	4	48092-48095
#DFBAB6	48093.5	2	4	48092-48095
#DFBAB6	48094	1.5	4	48092-48095
#DFBAB6	48093.5	1	4	48092-48095
#F7EDEC	48093.5	2	5	48092-48096
#F7EDEC	48094	2.5	5	48092-48096
#F7EDEC	48094.5	2	5	48092-48096
#F7EDEC	48094	1.5	5	48092-48096
#F0DDDB	48094	2.5	6	48092-48097
#F0DDDB	48094.5	3	6	48092-48097
#F0DDDB	48095	2.5	6	48092-48097
#F0DDDB	48094.5	2	6	48092-48097
#FCF9F9	48094.5	3	7	48092-48098
#FCF9F9	48095	3.5	7	48092-48098
#FCF9F9	48095.5	3	7	48092-48098
#FCF9F9	48095	2.5	7	48092-48098
#FAF3F2	48095	3.5	8	48092-48099
#FAF3F2	48095.5	4	8	48092-48099
#FAF3F2	48096	3.5	8	48092-48099
#FAF3F2	48095.5	3	8	48092-48099
#FEFCFC	48095.5	4	9	48092-48100
#FEFCFC	48096	4.5	9	48092-48100
#FEFCFC	48096.5	4	9	48092-48100
#FEFCFC	48096	3.5	9	48092-48100
#FFFFFF	48096	4.5	10	48092-48101
#FFFFFF	48096.5	5	10	48092-48101
#FFFFFF	48097	4.5	10	48092-48101
#FFFFFF	48096.5	4	10	48092-48101
#FCFCFD	48096.5	5	11	48092-48102
#FCFCFD	48097	5.5	11	48092-48102
#FCFCFD	48097.5	5	11	48092-48102
#FCFCFD	48097	4.5	11	48092-48102
#FEFEFF	48097	5.5	12	48092-48103
#FEFEFF	48097.5	6	12	48092-48103
#FEFEFF	48098	5.5	12	48092-48103
#FEFEFF	48097.5	5	12	48092-48103
#FDFDFE	48097.5	6	13	48092-48104
#FDFDFE	48098	6.5	13	48092-48104
#FDFDFE	48098.5	6	13	48092-48104
#FDFDFE	48098	5.5	13	48092-48104
#FEFEFE	48098	6.5	14	48092-48105
#FEFEFE	48098.5	7	14	48092-48105
#FEFEFE	48099	6.5	14	48092-48105
#FEFEFE	48098.5	6	14	48092-48105
#FEFCFC	48098.5	7	15	48092-48106
#FEFCFC	48099	7.5	15	48092-48106
#FEFCFC	48099.5	7	15	48092-48106
#FEFCFC	48099	6.5	15	48092-48106
#FDFDFE	48099	7.5	16	48092-48107
#FDFDFE	48099.5	8	16	48092-48107
#FDFDFE	48100	7.5	16	48092-48107
#FDFDFE	48099.5	7	16	48092-48107
#FFFEFF	48099.5	8	17	48092-48108
#FFFEFF	48100	8.5	17	48092-48108
#FFFEFF	48100.5	8	17	48092-48108
#FFFEFF	48100	7.5	17	48092-48108
#FFFFFF	48100	8.5	18	48092-48109
#FFFFFF	48100.5	9	18	48092-48109
#FFFFFF	48101	8.5	18	48092-48109
#FFFFFF	48100.5	8	18	48092-48109
#FEFCFC	48100.5	9	19	48092-48110
#FEFCFC	48101	9.5	19	48092-48110
#FEFCFC	48101.5	9	19	48092-48110
#FEFCFC	48101	8.5	19	48092-48110
#FDFBFA	48101	9.5	20	48092-48111
#FDFBFA	48101.5	10	20	48092-48111
#FDFBFA	48102	9.5	20	48092-48111
#FDFBFA	48101.5	9	20	48092-48111
#FCFCFE	48101.5	10	21	48092-48112
#FCFCFE	48102	10.5	21	48092-48112
#FCFCFE	48102.5	10	21	48092-48112
#FCFCFE	48102	9.5	21	48092-48112
#FAF3F2	48102	10.5	22	48092-48113
#FAF3F2	48102.5	11	22	48092-48113
#FAF3F2	48103	10.5	22	48092-48113
#FAF3F2	48102.5	10	22	48092-48113
#FEFCFC	48102.5	11	23	48092-48114
#FEFCFC	48103	11.5	23	48092-48114
#FEFCFC	48103.5	11	23	48092-48114
#FEFCFC	48103	10.5	23	48092-48114
#FCF7F7	48103	11.5	24	48092-48115
#FCF7F7	48103.5	12	24	48092-48115
#FCF7F7	48104	11.5	24	48092-48115
#FCF7F7	48103.5	11	24	48092-48115
#FEFCFC	48103.5	12	25	48092-48116
#FEFCFC	48104	12.5	25	48092-48116
#FEFCFC	48104.5	12	25	48092-48116
#FEFCFC	48104	11.5	25	48092-48116
#FFFFFF	48104	12.5	26	48092-48117
#FFFFFF	48104.5	13	26	48092-48117
#FFFFFF	48105	12.5	26	48092-48117
#FFFFFF	48104.5	12	26	48092-48117
#FEFCFC	48104.5	13	27	48092-48118
#FEFCFC	48105	13.5	27	48092-48118
#FEFCFC	48105.5	13	27	48092-48118
#FEFCFC	48105	12.5	27	48092-48118
#FEFCFC	48105	13.5	28	48092-48119
#FEFCFC	48105.5	14	28	48092-48119
#FEFCFC	48106	13.5	28	48092-48119
#FEFCFC	48105.5	13	28	48092-48119
#FCF7F7	48105.5	14	29	48092-48120
#FCF7F7	48106	14.5	29	48092-48120
#FCF7F7	48106.5	14	29	48092-48120
#FCF7F7	48106	13.5	29	48092-48120
#FCF8F8	48106	14.5	30	48092-48121
#FCF8F8	48106.5	15	30	48092-48121
#FCF8F8	48107	14.5	30	48092-48121
#FCF8F8	48106.5	14	30	48092-48121
#FEFDFD	48106.5	15	31	48092-48122
#FEFDFD	48107	15.5	31	48092-48122
#FEFDFD	48107.5	15	31	48092-48122
#FEFDFD	48107	14.5	31	48092-48122
#FDFAF9	48107	15.5	32	48092-48123
#FDFAF9	48107.5	16	32	48092-48123
#FDFAF9	48108	15.5	32	48092-48123
#FDFAF9	48107.5	15	32	48092-48123
#FBFAFD	48107.5	16	33	48092-48124
#FBFAFD	48108	16.5	33	48092-48124
#FBFAFD	48108.5	16	33	48092-48124
#FBFAFD	48108	15.5	33	48092-48124
#FDFAF9	48108.5	17	34	48092-48126
#FDFAF9	48109	17.5	34	48092-48126
#FDFAF9	48109.5	17	34	48092-48126
#FDFAF9	48109	16.5	34	48092-48126
#FDFAF9	48109	17.5	35	48092-48127
#FDFAF9	48109.5	18	35	48092-48127
#FDFAF9	48110	17.5	35	48092-48127
#FDFAF9	48109.5	17	35	48092-48127
