fill	x	y	group	clickSelects
#FDFDFE	48109.5	18	36	48092-48128
#FDFDFE	48110	18.5	36	48092-48128
#FDFDFE	48110.5	18	36	48092-48128
#FDFDFE	48110	17.5	36	48092-48128
#FCF7F7	48110	18.5	37	48092-48129
#FCF7F7	48110.5	19	37	48092-48129
#FCF7F7	48111	18.5	37	48092-48129
#FCF7F7	48110.5	18	37	48092-48129
#FFFFFF	48110.5	19	38	48092-48130
#FFFFFF	48111	19.5	38	48092-48130
#FFFFFF	48111.5	19	38	48092-48130
#FFFFFF	48111	18.5	38	48092-48130
#FEFCFC	48111	19.5	39	48092-48131
#FEFCFC	48111.5	20	39	48092-48131
#FEFCFC	48112	19.5	39	48092-48131
#FEFCFC	48111.5	19	39	48092-48131
#FDFBFA	48111.5	20	40	48092-48132
#FDFBFA	48112	20.5	40	48092-48132
#FDFBFA	48112.5	20	40	48092-48132
#FDFBFA	48112	19.5	40	48092-48132
#FEFCFC	48112	20.5	41	48092-48133
#FEFCFC	48112.5	21	41	48092-48133
#FEFCFC	48113	20.5	41	48092-48133
#FEFCFC	48112.5	20	41	48092-48133
#FEFCFC	48112.5	21	42	48092-48134
#FEFCFC	48113	21.5	42	48092-48134
#FEFCFC	48113.5	21	42	48092-48134
#FEFCFC	48113	20.5	42	48092-48134
#FCF7F7	48113	21.5	43	48092-48135
#FCF7F7	48113.5	22	43	48092-48135
#FCF7F7	48114	21.5	43	48092-48135
#FCF7F7	48113.5	21	43	48092-48135
#FDFBFB	48113.5	22	44	48092-48136
#FDFBFB	48114	22.5	44	48092-48136
#FDFBFB	48114.5	22	44	48092-48136
#FDFBFB	48114	21.5	44	48092-48136
#FDFBFB	48114	22.5	45	48092-48137
#FDFBFB	48114.5	23	45	48092-48137
#FDFBFB	48115	22.5	45	48092-48137
#FDFBFB	48114.5	22	45	48092-48137
#FDFAF9	48114.5	23	46	48092-48138
#FDFAF9	48115	23.5	46	48092-48138
#FDFAF9	48115.5	23	46	48092-48138
#FDFAF9	48115	22.5	46	48092-48138
#FDFBFA	48115	23.5	47	48092-48139
#FDFBFA	48115.5	24	47	48092-48139
#FDFBFA	48116	23.5	47	48092-48139
#FDFBFA	48115.5	23	47	48092-48139
#FDFAF9	48115.5	24	48	48092-48140
#FDFAF9	48116	24.5	48	48092-48140
#FDFAF9	48116.5	24	48	48092-48140
#FDFAF9	48116	23.5	48	48092-48140
#FEFDFD	48116	24.5	49	48092-48141
#FEFDFD	48116.5	25	49	48092-48141
#FEFDFD	48117	24.5	49	48092-48141
#FEFDFD	48116.5	24	49	48092-48141
#AF6760	48092.5	0	50	48093-48093
#AF6760	48093	0.5	50	48093-48093
#AF6760	48093.5	0	50	48093-48093
#AF6760	48093	-0.5	50	48093-48093
#B8756E	48093	0.5	51	48093-48094
#B8756E	48093.5	1	51	48093-48094
#B8756E	48094	0.5	51	48093-48094
#B8756E	48093.5	0	51	48093-48094
#BB7B74	48093.5	1	52	48093-48095
#BB7B74	48094	1.5	52	48093-48095
#BB7B74	48094.5	1	52	48093-48095
#BB7B74	48094	0.5	52	48093-48095
#E6C8C5	48094	1.5	53	48093-48096
#E6C8C5	48094.5	2	53	48093-48096
#E6C8C5	48095	1.5	53	48093-48096
#E6C8C5	48094.5	1	53	48093-48096
#DEBAB5	48094.5	2	54	48093-48097
#DEBAB5	48095	2.5	54	48093-48097
#DEBAB5	48095.5	2	54	48093-48097
#DEBAB5	48095	1.5	54	48093-48097
#F9F0EF	48095	2.5	55	48093-48098
#F9F0EF	48095.5	3	55	48093-48098
#F9F0EF	48096	2.5	55	48093-48098
#F9F0EF	48095.5	2	55	48093-48098
#F8EFED	48095.5	3	56	48093-48099
#F8EFED	48096	3.5	56	48093-48099
#F8EFED	48096.5	3	56	48093-48099
#F8EFED	48096	2.5	56	48093-48099
#FDFCFE	48096	3.5	57	48093-48100
#FDFCFE	48096.5	4	57	48093-48100
#FDFCFE	48097	3.5	57	48093-48100
#FDFCFE	48096.5	3	57	48093-48100
#FEFEFF	48096.5	4	58	48093-48101
#FEFEFF	48097	4.5	58	48093-48101
#FEFEFF	48097.5	4	58	48093-48101
#FEFEFF	48097	3.5	58	48093-48101
#FEFEFE	48097	4.5	59	48093-48102
#FEFEFE	48097.5	5	59	48093-48102
#FEFEFE	48098	4.5	59	48093-48102
#FEFEFE	48097.5	4	59	48093-48102
#FDFAF9	48097.5	5	60	48093-48103
#FDFAF9	48098	5.5	60	48093-48103
#FDFAF9	48098.5	5	60	48093-48103
#FDFAF9	48098	4.5	60	48093-48103
#FEFCFC	48098	5.5	61	48093-48104
#FEFCFC	48098.5	6	61	48093-48104
#FEFCFC	48099	5.5	61	48093-48104
#FEFCFC	48098.5	5	61	48093-48104
#FDFCFE	48098.5	6	62	48093-48105
#FDFCFE	48099	6.5	62	48093-48105
#FDFCFE	48099.5	6	62	48093-48105
#FDFCFE	48099	5.5	62	48093-48105
#FEFCFB	48099	6.5	63	48093-48106
#FEFCFB	48099.5	7	63	48093-48106
#FEFCFB	48100	6.5	63	48093-48106
#FEFCFB	48099.5	6	63	48093-48106
#FFFEFE	48099.5	7	64	48093-48107
#FFFEFE	48100	7.5	64	48093-48107
#FFFEFE	48100.5	7	64	48093-48107
#FFFEFE	48100	6.5	64	48093-48107
#FEFEFE	48100	7.5	65	48093-48108
#FEFEFE	48100.5	8	65	48093-48108
#FEFEFE	48101	7.5	65	48093-48108
#FEFEFE	48100.5	7	65	48093-48108
#FEFEFE	48100.5	8	66	48093-48109
#FEFEFE	48101	8.5	66	48093-48109
#FEFEFE	48101.5	8	66	48093-48109
#FEFEFE	48101	7.5	66	48093-48109
#FBF7F6	48101	8.5	67	48093-48110
#FBF7F6	48101.5	9	67	48093-48110
#FBF7F6	48102	8.5	67	48093-48110
#FBF7F6	48101.5	8	67	48093-48110
#FDFBFB	48101.5	9	68	48093-48111
#FDFBFB	48102	9.5	68	48093-48111
#FDFBFB	48102.5	9	68	48093-48111
#FDFBFB	48102	8.5	68	48093-48111
#FDF9F9	48102	9.5	69	48093-48112
#FDF9F9	48102.5	10	69	48093-48112
#FDF9F9	48103	9.5	69	48093-48112
#FDF9F9	48102.5	9	69	48093-48112
#FDFBFA	48102.5	10	70	48093-48113
#FDFBFA	48103	10.5	70	48093-48113
#FDFBFA	48103.5	10	70	48093-48113
#FDFBFA	48103	9.5	70	48093-48113
#FAF3F3	48103	10.5	71	48093-48114
#FAF3F3	48103.5	11	71	48093-48114
#FAF3F3	48104	10.5	71	48093-48114
#FAF3F3	48103.5	10	71	48093-48114
#FCF7F7	48103.5	11	72	48093-48115
#FCF7F7	48104	11.5	72	48093-48115
#FCF7F7	48104.5	11	72	48093-48115
#FCF7F7	48104	10.5	72	48093-48115
#FFFEFE	48104	11.5	73	48093-48116
#FFFEFE	48104.5	12	73	48093-48116
#FFFEFE	48105	11.5	73	48093-48116
#FFFEFE	48104.5	11	73	48093-48116
#FCF7F7	48104.5	12	74	48093-48117
#FCF7F7	48105	12.5	74	48093-48117
#FCF7F7	48105.5	12	74	48093-48117
#FCF7F7	48105	11.5	74	48093-48117
#F9F2F1	48105.5	13	75	48093-48119
#F9F2F1	48106	13.5	75	48093-48119
#F9F2F1	48106.5	13	75	48093-48119
#F9F2F1	48106	12.5	75	48093-48119
#FFFFFF	48106	13.5	76	48093-48120
#FFFFFF	48106.5	14	76	48093-48120
#FFFFFF	48107	13.5	76	48093-48120
#FFFFFF	48106.5	13	76	48093-48120
#FEFCFB	48106.5	14	77	48093-48121
#FEFCFB	48107	14.5	77	48093-48121
#FEFCFB	48107.5	14	77	48093-48121
#FEFCFB	48107	13.5	77	48093-48121
#FFFFFF	48107	14.5	78	48093-48122
#FFFFFF	48107.5	15	78	48093-48122
#FFFFFF	48108	14.5	78	48093-48122
#FFFFFF	48107.5	14	78	48093-48122
#FBF7F6	48107.5	15	79	48093-48123
#FBF7F6	48108	15.5	79	48093-48123
#FBF7F6	48108.5	15	79	48093-48123
#FBF7F6	48108	14.5	79	48093-48123
#FDFDFE	48108	15.5	80	48093-48124
#FDFDFE	48108.5	16	80	48093-48124
#FDFDFE	48109	15.5	80	48093-48124
#FDFDFE	48108.5	15	80	48093-48124
#FFFFFF	48108.5	16	81	48093-48125
#FFFFFF	48109	16.5	81	48093-48125
#FFFFFF	48109.5	16	81	48093-48125
#FFFFFF	48109	15.5	81	48093-48125
#FAF9FC	48109	16.5	82	48093-48126
#FAF9FC	48109.5	17	82	48093-48126
#FAF9FC	48110	16.5	82	48093-48126
#FAF9FC	48109.5	16	82	48093-48126
#FFFFFF	48109.5	17	83	48093-48127
#FFFFFF	48110	17.5	83	48093-48127
#FFFFFF	48110.5	17	83	48093-48127
#FFFFFF	48110	16.5	83	48093-48127
#FDFBFB	48110	17.5	84	48093-48128
#FDFBFB	48110.5	18	84	48093-48128
#FDFBFB	48111	17.5	84	48093-48128
#FDFBFB	48110.5	17	84	48093-48128
#FEFDFD	48110.5	18	85	48093-48129
#FEFDFD	48111	18.5	85	48093-48129
#FEFDFD	48111.5	18	85	48093-48129
#FEFDFD	48111	17.5	85	48093-48129
#FDFAF9	48111	18.5	86	48093-48130
#FDFAF9	48111.5	19	86	48093-48130
#FDFAF9	48112	18.5	86	48093-48130
#FDFAF9	48111.5	18	86	48093-48130
#FBF6F6	48111.5	19	87	48093-48131
#FBF6F6	48112	19.5	87	48093-48131
#FBF6F6	48112.5	19	87	48093-48131
#FBF6F6	48112	18.5	87	48093-48131
#FBF5F5	48112	19.5	88	48093-48132
#FBF5F5	48112.5	20	88	48093-48132
#FBF5F5	48113	19.5	88	48093-48132
#FBF5F5	48112.5	19	88	48093-48132
#FFFFFF	48112.5	20	89	48093-48133
#FFFFFF	48113	20.5	89	48093-48133
#FFFFFF	48113.5	20	89	48093-48133
#FFFFFF	48113	19.5	89	48093-48133
#FCF7F7	48113	20.5	90	48093-48134
#FCF7F7	48113.5	21	90	48093-48134
#FCF7F7	48114	20.5	90	48093-48134
#FCF7F7	48113.5	20	90	48093-48134
#FEFCFC	48113.5	21	91	48093-48135
#FEFCFC	48114	21.5	91	48093-48135
#FEFCFC	48114.5	21	91	48093-48135
#FEFCFC	48114	20.5	91	48093-48135
#FAF4F3	48114	21.5	92	48093-48136
#FAF4F3	48114.5	22	92	48093-48136
#FAF4F3	48115	21.5	92	48093-48136
#FAF4F3	48114.5	21	92	48093-48136
#FCF8F8	48114.5	22	93	48093-48137
#FCF8F8	48115	22.5	93	48093-48137
#FCF8F8	48115.5	22	93	48093-48137
#FCF8F8	48115	21.5	93	48093-48137
#FCFCFE	48115	22.5	94	48093-48138
#FCFCFE	48115.5	23	94	48093-48138
#FCFCFE	48116	22.5	94	48093-48138
#FCFCFE	48115.5	22	94	48093-48138
#FDFAF9	48115.5	23	95	48093-48139
#FDFAF9	48116	23.5	95	48093-48139
#FDFAF9	48116.5	23	95	48093-48139
#FDFAF9	48116	22.5	95	48093-48139
#FFFEFF	48116	23.5	96	48093-48140
#FFFEFF	48116.5	24	96	48093-48140
#FFFEFF	48117	23.5	96	48093-48140
#FFFEFF	48116.5	23	96	48093-48140
#FDFBFB	48116.5	24	97	48093-48141
#FDFBFB	48117	24.5	97	48093-48141
#FDFBFB	48117.5	24	97	48093-48141
#FDFBFB	48117	23.5	97	48093-48141
#FDFBFA	48117	24.5	98	48093-48142
#FDFBFA	48117.5	25	98	48093-48142
#FDFBFA	48118	24.5	98	48093-48142
#FDFBFA	48117.5	24	98	48093-48142
#A0504A	48093.5	0	99	48094-48094
#A0504A	48094	0.5	99	48094-48094
#A0504A	48094.5	0	99	48094-48094
#A0504A	48094	-0.5	99	48094-48094
#C0837C	48094	0.5	100	48094-48095
#C0837C	48094.5	1	100	48094-48095
#C0837C	48095	0.5	100	48094-48095
#C0837C	48094.5	0	100	48094-48095
#D2A29C	48094.5	1	101	48094-48096
#D2A29C	48095	1.5	101	48094-48096
#D2A29C	48095.5	1	101	48094-48096
#D2A29C	48095	0.5	101	48094-48096
#C48982	48095	1.5	102	48094-48097
#C48982	48095.5	2	102	48094-48097
#C48982	48096	1.5	102	48094-48097
#C48982	48095.5	1	102	48094-48097
#DEB9B4	48095.5	2	103	48094-48098
#DEB9B4	48096	2.5	103	48094-48098
#DEB9B4	48096.5	2	103	48094-48098
#DEB9B4	48096	1.5	103	48094-48098
#FCF8F7	48096	2.5	104	48094-48099
#FCF8F7	48096.5	3	104	48094-48099
#FCF8F7	48097	2.5	104	48094-48099
#FCF8F7	48096.5	2	104	48094-48099
#F3E5E3	48096.5	3	105	48094-48100
#F3E5E3	48097	3.5	105	48094-48100
#F3E5E3	48097.5	3	105	48094-48100
#F3E5E3	48097	2.5	105	48094-48100
#FEFCFB	48097	3.5	106	48094-48101
#FEFCFB	48097.5	4	106	48094-48101
#FEFCFB	48098	3.5	106	48094-48101
#FEFCFB	48097.5	3	106	48094-48101
#FAF9FC	48097.5	4	107	48094-48102
#FAF9FC	48098	4.5	107	48094-48102
#FAF9FC	48098.5	4	107	48094-48102
#FAF9FC	48098	3.5	107	48094-48102
#FDFBFB	48098	4.5	108	48094-48103
#FDFBFB	48098.5	5	108	48094-48103
#FDFBFB	48099	4.5	108	48094-48103
#FDFBFB	48098.5	4	108	48094-48103
#F7EDEC	48098.5	5	109	48094-48104
#F7EDEC	48099	5.5	109	48094-48104
#F7EDEC	48099.5	5	109	48094-48104
#F7EDEC	48099	4.5	109	48094-48104
#FDFAFA	48099	5.5	110	48094-48105
#FDFAFA	48099.5	6	110	48094-48105
#FDFAFA	48100	5.5	110	48094-48105
#FDFAFA	48099.5	5	110	48094-48105
#FBF6F6	48099.5	6	111	48094-48106
#FBF6F6	48100	6.5	111	48094-48106
#FBF6F6	48100.5	6	111	48094-48106
#FBF6F6	48100	5.5	111	48094-48106
#FAF3F2	48100	6.5	112	48094-48107
#FAF3F2	48100.5	7	112	48094-48107
#FAF3F2	48101	6.5	112	48094-48107
#FAF3F2	48100.5	6	112	48094-48107
#F9F1F0	48100.5	7	113	48094-48108
#F9F1F0	48101	7.5	113	48094-48108
#F9F1F0	48101.5	7	113	48094-48108
#F9F1F0	48101	6.5	113	48094-48108
#FBF5F4	48101	7.5	114	48094-48109
#FBF5F4	48101.5	8	114	48094-48109
#FBF5F4	48102	7.5	114	48094-48109
#FBF5F4	48101.5	7	114	48094-48109
#FFFFFF	48101.5	8	115	48094-48110
#FFFFFF	48102	8.5	115	48094-48110
#FFFFFF	48102.5	8	115	48094-48110
#FFFFFF	48102	7.5	115	48094-48110
#FFFFFF	48102	8.5	116	48094-48111
#FFFFFF	48102.5	9	116	48094-48111
#FFFFFF	48103	8.5	116	48094-48111
#FFFFFF	48102.5	8	116	48094-48111
#FFFFFF	48102.5	9	117	48094-48112
#FFFFFF	48103	9.5	117	48094-48112
#FFFFFF	48103.5	9	117	48094-48112
#FFFFFF	48103	8.5	117	48094-48112
#FCF9F8	48103	9.5	118	48094-48113
#FCF9F8	48103.5	10	118	48094-48113
#FCF9F8	48104	9.5	118	48094-48113
#FCF9F8	48103.5	9	118	48094-48113
#FEFCFC	48103.5	10	119	48094-48114
#FEFCFC	48104	10.5	119	48094-48114
#FEFCFC	48104.5	10	119	48094-48114
#FEFCFC	48104	9.5	119	48094-48114
#FBF6F5	48104	10.5	120	48094-48115
#FBF6F5	48104.5	11	120	48094-48115
#FBF6F5	48105	10.5	120	48094-48115
#FBF6F5	48104.5	10	120	48094-48115
#FBF5F4	48104.5	11	121	48094-48116
#FBF5F4	48105	11.5	121	48094-48116
#FBF5F4	48105.5	11	121	48094-48116
#FBF5F4	48105	10.5	121	48094-48116
#FCF7F7	48105	11.5	122	48094-48117
#FCF7F7	48105.5	12	122	48094-48117
#FCF7F7	48106	11.5	122	48094-48117
#FCF7F7	48105.5	11	122	48094-48117
#F7EDEC	48105.5	12	123	48094-48118
#F7EDEC	48106	12.5	123	48094-48118
#F7EDEC	48106.5	12	123	48094-48118
#F7EDEC	48106	11.5	123	48094-48118
#FEFCFC	48106	12.5	124	48094-48119
#FEFCFC	48106.5	13	124	48094-48119
#FEFCFC	48107	12.5	124	48094-48119
#FEFCFC	48106.5	12	124	48094-48119
#FDFAFA	48106.5	13	125	48094-48120
#FDFAFA	48107	13.5	125	48094-48120
#FDFAFA	48107.5	13	125	48094-48120
#FDFAFA	48107	12.5	125	48094-48120
#FCF9F8	48107	13.5	126	48094-48121
#FCF9F8	48107.5	14	126	48094-48121
#FCF9F8	48108	13.5	126	48094-48121
#FCF9F8	48107.5	13	126	48094-48121
#FDFAFA	48107.5	14	127	48094-48122
#FDFAFA	48108	14.5	127	48094-48122
#FDFAFA	48108.5	14	127	48094-48122
#FDFAFA	48108	13.5	127	48094-48122
#FCF7F6	48108	14.5	128	48094-48123
#FCF7F6	48108.5	15	128	48094-48123
#FCF7F6	48109	14.5	128	48094-48123
#FCF7F6	48108.5	14	128	48094-48123
#FBF5F4	48108.5	15	129	48094-48124
#FBF5F4	48109	15.5	129	48094-48124
#FBF5F4	48109.5	15	129	48094-48124
#FBF5F4	48109	14.5	129	48094-48124
#FEFCFC	48109	15.5	130	48094-48125
#FEFCFC	48109.5	16	130	48094-48125
#FEFCFC	48110	15.5	130	48094-48125
#FEFCFC	48109.5	15	130	48094-48125
#FFFFFF	48109.5	16	131	48094-48126
#FFFFFF	48110	16.5	131	48094-48126
#FFFFFF	48110.5	16	131	48094-48126
#FFFFFF	48110	15.5	131	48094-48126
#FCF8F8	48110	16.5	132	48094-48127
#FCF8F8	48110.5	17	132	48094-48127
#FCF8F8	48111	16.5	132	48094-48127
#FCF8F8	48110.5	16	132	48094-48127
#FCF8F8	48110.5	17	133	48094-48128
#FCF8F8	48111	17.5	133	48094-48128
#FCF8F8	48111.5	17	133	48094-48128
#FCF8F8	48111	16.5	133	48094-48128
#FEFDFD	48111	17.5	134	48094-48129
#FEFDFD	48111.5	18	134	48094-48129
#FEFDFD	48112	17.5	134	48094-48129
#FEFDFD	48111.5	17	134	48094-48129
#FCF9F9	48111.5	18	135	48094-48130
#FCF9F9	48112	18.5	135	48094-48130
#FCF9F9	48112.5	18	135	48094-48130
#FCF9F9	48112	17.5	135	48094-48130
#FEFDFC	48112	18.5	136	48094-48131
#FEFDFC	48112.5	19	136	48094-48131
#FEFDFC	48113	18.5	136	48094-48131
#FEFDFC	48112.5	18	136	48094-48131
#FEFDFD	48112.5	19	137	48094-48132
#FEFDFD	48113	19.5	137	48094-48132
#FEFDFD	48113.5	19	137	48094-48132
#FEFDFD	48113	18.5	137	48094-48132
#FCF7F6	48113	19.5	138	48094-48133
#FCF7F6	48113.5	20	138	48094-48133
#FCF7F6	48114	19.5	138	48094-48133
#FCF7F6	48113.5	19	138	48094-48133
#FEFDFD	48113.5	20	139	48094-48134
#FEFDFD	48114	20.5	139	48094-48134
#FEFDFD	48114.5	20	139	48094-48134
#FEFDFD	48114	19.5	139	48094-48134
#FFFFFF	48114	20.5	140	48094-48135
#FFFFFF	48114.5	21	140	48094-48135
#FFFFFF	48115	20.5	140	48094-48135
#FFFFFF	48114.5	20	140	48094-48135
#FCF8F8	48114.5	21	141	48094-48136
#FCF8F8	48115	21.5	141	48094-48136
#FCF8F8	48115.5	21	141	48094-48136
#FCF8F8	48115	20.5	141	48094-48136
#FDFAFA	48115	21.5	142	48094-48137
#FDFAFA	48115.5	22	142	48094-48137
#FDFAFA	48116	21.5	142	48094-48137
#FDFAFA	48115.5	21	142	48094-48137
#FFFFFF	48115.5	22	143	48094-48138
#FFFFFF	48116	22.5	143	48094-48138
#FFFFFF	48116.5	22	143	48094-48138
#FFFFFF	48116	21.5	143	48094-48138
#FCF7F7	48116	22.5	144	48094-48139
#FCF7F7	48116.5	23	144	48094-48139
#FCF7F7	48117	22.5	144	48094-48139
#FCF7F7	48116.5	22	144	48094-48139
#FBF7F6	48116.5	23	145	48094-48140
#FBF7F6	48117	23.5	145	48094-48140
#FBF7F6	48117.5	23	145	48094-48140
#FBF7F6	48117	22.5	145	48094-48140
#FBF5F5	48117	23.5	146	48094-48141
#FBF5F5	48117.5	24	146	48094-48141
#FBF5F5	48118	23.5	146	48094-48141
#FBF5F5	48117.5	23	146	48094-48141
#FEFCFC	48117.5	24	147	48094-48142
#FEFCFC	48118	24.5	147	48094-48142
#FEFCFC	48118.5	24	147	48094-48142
#FEFCFC	48118	23.5	147	48094-48142
#FFFEFE	48118	24.5	148	48094-48143
#FFFEFE	48118.5	25	148	48094-48143
#FFFEFE	48119	24.5	148	48094-48143
#FFFEFE	48118.5	24	148	48094-48143
#A3544D	48094.5	0	149	48095-48095
#A3544D	48095	0.5	149	48095-48095
#A3544D	48095.5	0	149	48095-48095
#A3544D	48095	-0.5	149	48095-48095
#B6726B	48095	0.5	150	48095-48096
#B6726B	48095.5	1	150	48095-48096
#B6726B	48096	0.5	150	48095-48096
#B6726B	48095.5	0	150	48095-48096
#AB615A	48095.5	1	151	48095-48097
#AB615A	48096	1.5	151	48095-48097
#AB615A	48096.5	1	151	48095-48097
#AB615A	48096	0.5	151	48095-48097
#CA938D	48096	1.5	152	48095-48098
#CA938D	48096.5	2	152	48095-48098
#CA938D	48097	1.5	152	48095-48098
#CA938D	48096.5	1	152	48095-48098
#E6C9C5	48096.5	2	153	48095-48099
#E6C9C5	48097	2.5	153	48095-48099
#E6C9C5	48097.5	2	153	48095-48099
